"value";"language"
"Lozère";"fr"
"Lunéville";"fr"
"Lure";"fr"
"Lyon";"fr"
"Mâcon";"fr"
"Maine-et-Loire";"fr"
"Mamers";"fr"
"Manche";"fr"
"Mantes-la-Jolie";"fr"
"Marmande";"fr"
"Marne-la-Vallée";"fr"
"Marne";"fr"
"Marseille";"fr"
"Mauriac";"fr"
"Mayenne";"fr"
"Meaux";"fr"
"Melun";"fr"
"Mende";"fr"
"Metz";"fr"
"Meurthe-et-Moselle";"fr"
"Meuse";"fr"
"Millau";"fr"
"Mirande";"fr"
"Molsheim";"fr"
"Mont-de-Marsan";"fr"
"Montargis";"fr"
"Montauban";"fr"
"Montbard";"fr"
"Montbéliard";"fr"
"Montbrison";"fr"
"Montdidier";"fr"
"Montluçon";"fr"
"Montmorillon";"fr"
"Montpellier";"fr"
"Morbihan";"fr"
"Morlaix";"fr"
"Mortagne-au-Perche";"fr"
"Moselle";"fr"
"Moulins";"fr"
"Mulhouse";"fr"
"Muret";"fr"
"Nancy";"fr"
"Nanterre";"fr"
"Nantes";"fr"
"Nantua";"fr"
"Narbonne";"fr"
"Nérac";"fr"
"Neufchâteau";"fr"
"Nevers";"fr"
"Nice";"fr"
"Nièvre";"fr"
"Nîmes";"fr"
"Niort";"fr"
"Nogent-le-Rotrou";"fr"
"Nogent-sur-Marne";"fr"
"Nogent-sur-Seine";"fr"
"Nontron";"fr"
"Nord";"fr"
"Nyons";"fr"
"Oise";"fr"
"Oloron-Sainte-Marie";"fr"
"Orléans";"fr"
"Orne";"fr"
"Palaiseau";"fr"
"Pamiers";"fr"
"Paris";"fr"
"Parthenay";"fr"
"Pas-de-Calais";"fr"
"Pau";"fr"
"Périgueux";"fr"
"Péronne";"fr"
"Perpignan";"fr"
"Pithiviers";"fr"
"Poitiers";"fr"
"Pontarlier";"fr"
"Pontivy";"fr"
"Prades";"fr"
"Privas";"fr"
"Provins";"fr"
"Puy-de-Dôme";"fr"
"Pyrénées-Atlantiques";"fr"
"Pyrénées-Orientales";"fr"
"Quimper";"fr"
"Rambouillet";"fr"
"Redon";"fr"
"Reims";"fr"
"Rennes";"fr"
"Rethel";"fr"
"Rhône";"fr"
"Riom";"fr"
"Roanne";"fr"
"Rochechouart";"fr"
"Rochefort";"fr"
"Rodez";"fr"
"Romorantin-Lanthenay";"fr"
"Rouen";"fr"
"Saint Claude";"fr"
"Saint-Amand-Montrond";"fr"
"Saint-Brieuc";"fr"
"Saint-Denis";"fr"
"Saint-Dié-des-Vosges";"fr"
"Saint-Dizier";"fr"
"Saint-Étienne";"fr"
"Saint-Flour";"fr"
"Saint-Gaudens";"fr"
"Saint-Germain-en-Laye";"fr"
"Saint-Girons";"fr"
"Saint-Jean-d'Angély";"fr"
"Saint-Julien-en-Genevois";"fr"
"Saint-Lô";"fr"
"Saint-Malo";"fr"
"Saint-Nazaire";"fr"
"Saint-Omer";"fr"
"Saint-Quentin";"fr"
"Sainte-Menehould";"fr"
"Saintes";"fr"
"Saône-et-Loire";"fr"
"Sarcelles";"fr"
"Sarlat-la-Canéda";"fr"
"Sarrebourg";"fr"
"Sarreguemines";"fr"
"Sartène";"fr"
"Sarthe";"fr"
"Saumur";"fr"
"Saverne";"fr"
"Savoie";"fr"
"Sedan";"fr"
"Segré";"fr"
"Seine-et-Marne";"fr"
"Seine-Maritime";"fr"
"Seine-Saint-Denis";"fr"
"Sélestat";"fr"
"Senlis";"fr"
"Sens";"fr"
"Soissons";"fr"
"Somme";"fr"
"Strasbourg";"fr"
"Tarbes";"fr"
"Tarn-et-Garonne";"fr"
"Tarn";"fr"
"Territoire de Belfort";"fr"
"Thann";"fr"
"Thiers";"fr"
"Thionville";"fr"
"Thonon-les-Bains";"fr"
"Toul";"fr"
"Toulon";"fr"
"Toulouse";"fr"
"Tournon-sur-Rhône";"fr"
"Tours";"fr"
"Troyes";"fr"
"Tulle";"fr"
"Ussel";"fr"
"Val-d'Oise";"fr"
"Val-de-Marne";"fr"
"Valence";"fr"
"Valenciennes";"fr"
"Vannes";"fr"
"Var";"fr"
"Vaucluse";"fr"
"Vendée";"fr"
"Vendôme";"fr"
"Verdun";"fr"
"Versailles";"fr"
"Vervins";"fr"
"Vesoul";"fr"
"Vichy";"fr"
"Vienne";"fr"
"Vierzon";"fr"
"Villefranche-de-Rouergue";"fr"
"Villefranche-sur-Saône";"fr"
"Villeneuve-sur-Lot";"fr"
"Vire";"fr"
"Vitry-le-François";"fr"
"Vosges";"fr"
"Vouziers";"fr"
"Yonne";"fr"
"Yssingeaux";"fr"
"Yvelines";"fr"
